repeated_times,Accuracy,Precision,Recall,F1,AUC,CV_list(AUC)
5,0.852980132450331,0.4264900662251655,0.5,0.460244392013515,0.5,"[0.5, 0.5, 0.5, 0.5, 0.5]"
10,0.8721854304635761,0.43609271523178805,0.5,0.4657514599563203,0.5,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
20,0.8748344370860928,0.4873796909492274,0.5027777777777779,0.4717670862077662,0.5027777777777779,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5277777777777778, 0.5, 0.5, 0.5277777777777778]"
50,0.8748344370860928,0.500215218128031,0.5056493284493284,0.47683426027230447,0.5056493284493284,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5277777777777778, 0.5, 0.5, 0.5277777777777778, 0.5, 0.5, 0.5, 0.5357142857142857, 0.5875457875457876, 0.5520634920634921, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5277777777777778, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5238095238095238, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
100,0.8751655629139075,0.5103282162121476,0.5085072391466876,0.4811715512688538,0.5085072391466876,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5277777777777778, 0.5, 0.5, 0.5277777777777778, 0.5, 0.5, 0.5, 0.5357142857142857, 0.5875457875457876, 0.5520634920634921, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5277777777777778, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5238095238095238, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.6073517126148704, 0.5, 0.5277777777777778, 0.5, 0.5, 0.5, 0.6226222826086957, 0.5, 0.5, 0.5, 0.5, 0.5294117647058824, 0.5, 0.5, 0.5, 0.5357142857142857, 0.5333333333333333, 0.5, 0.5, 0.5, 0.5, 0.5, 0.6474630021141649, 0.53125, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5333333333333333, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]"
