repeated_times,Training_Time,Prediction_Time,Accuracy,Precision,Recall,F1,AUC,MCC,CM,CV_list(AUC)
10,4934710,3384740,0.6807606263982103,0.6346308291380834,0.7142316017316017,0.6226665925308235,0.7454807818444182,0.3396468998884358,"[[239.8, 123.2], [19.5, 64.5]]","[0.7560015741833924, 0.7359799291617474, 0.7108421881149154, 0.7450970746425292, 0.7459497573133936, 0.7666273120818575, 0.7576085530630986, 0.7289944903581267, 0.7460153482880756, 0.7616915912370458]"
20,5753850,3813910,0.6814317673378075,0.6360070029562153,0.7167035615899252,0.6239248344344319,0.7478846910665092,0.34334414323340484,"[[239.65, 123.35], [19.05, 64.95]]","[0.7560015741833924, 0.7359799291617474, 0.7108421881149154, 0.7450970746425292, 0.7459497573133936, 0.7666273120818575, 0.7576085530630986, 0.7289944903581267, 0.7460153482880756, 0.7616915912370458, 0.7250426341335433, 0.7747605929424111, 0.746622064803883, 0.7622655122655122, 0.7432769250951068, 0.7446871310507676, 0.7609536927718745, 0.7361111111111112, 0.7502951593860685, 0.7588711793257248]"
50,5751900,3772392,0.6881431767337807,0.6420061738037883,0.7260055096418732,0.631319223730326,0.7553279548734095,0.3582852983539249,"[[241.52, 121.48], [17.92, 66.08]]","[0.7560015741833924, 0.7359799291617474, 0.7108421881149154, 0.7450970746425292, 0.7459497573133936, 0.7666273120818575, 0.7576085530630986, 0.7289944903581267, 0.7460153482880756, 0.7616915912370458, 0.7250426341335433, 0.7747605929424111, 0.746622064803883, 0.7622655122655122, 0.7432769250951068, 0.7446871310507676, 0.7609536927718745, 0.7361111111111112, 0.7502951593860685, 0.7588711793257248, 0.7719729765184311, 0.7659714023350387, 0.8013905286632559, 0.766955266955267, 0.7212875508330054, 0.7325855962219598, 0.7619375573921028, 0.7845664436573527, 0.7841073068345796, 0.7169913419913421, 0.7944870785779878, 0.7591827364554637, 0.7789092220910403, 0.7864193886921159, 0.7233208710481438, 0.7746458087367177, 0.7862718089990818, 0.7687918142463597, 0.7248130657221565, 0.7832218286763741, 0.7013150990423718, 0.7222386199658927, 0.7608061130788405, 0.76183917093008, 0.7531811622720713, 0.742375049193231, 0.7935852026761118, 0.7622655122655123, 0.7626426603699332, 0.7606257378984651]"
