,training_time,prediction_time,accuracy,precision,recall,f1,auc,mcc,cm
0,68987400,4242900,0.8837209302325582,0.4418604651162791,0.5,0.4691358024691358,0.7986842105263158,0.0,"[[76, 0], [10, 0]]"
1,73096200,3417000,0.8837209302325582,0.4418604651162791,0.5,0.4691358024691358,0.7625000000000001,0.0,"[[76, 0], [10, 0]]"
2,144599900,7438100,0.8837209302325582,0.4418604651162791,0.5,0.4691358024691358,0.7868421052631579,0.0,"[[76, 0], [10, 0]]"
3,72692700,3957400,0.8837209302325582,0.4418604651162791,0.5,0.4691358024691358,0.7861842105263158,0.0,"[[76, 0], [10, 0]]"
4,72884400,3498200,0.8953488372093024,0.9470588235294117,0.55,0.5629587803500847,0.7532894736842105,0.2990180006385608,"[[76, 0], [9, 1]]"
5,73415400,3606700,0.8837209302325582,0.4418604651162791,0.5,0.4691358024691358,0.6855263157894737,0.0,"[[76, 0], [10, 0]]"
6,80043900,4164300,0.8837209302325582,0.4418604651162791,0.5,0.4691358024691358,0.6690789473684211,0.0,"[[76, 0], [10, 0]]"
7,77541700,3397100,0.8837209302325582,0.4418604651162791,0.5,0.4691358024691358,0.667763157894737,0.0,"[[76, 0], [10, 0]]"
8,68005200,3605600,0.8953488372093024,0.9470588235294117,0.55,0.5629587803500847,0.65,0.2990180006385608,"[[76, 0], [9, 1]]"
9,81569800,3579500,0.8837209302325582,0.4418604651162791,0.5,0.4691358024691358,0.7473684210526317,0.0,"[[76, 0], [10, 0]]"
