repeated_times,Training_Time,Prediction_Time,Accuracy,Precision,Recall,F1,AUC,MCC,CM,CV_list(AUC)
10,5874570,163770,0.8563758389261744,0.7654742117758321,0.7967384887839433,0.7787062217539542,0.9028597664961302,0.5611922616038979,"[[323.9, 39.1], [25.1, 58.9]]","[0.9094188639643185, 0.9120752984389348, 0.8824281778827234, 0.9358848222484586, 0.8835432244523154, 0.8910205955660502, 0.9099435917617736, 0.9015807424898334, 0.9038436311163583, 0.8988587170405352]"
20,5974410,155500,0.863758389261745,0.7759274105410789,0.808375147579693,0.7897694039694546,0.9099534304079757,0.583266755363282,"[[325.65, 37.35], [23.55, 60.45]]","[0.9094188639643185, 0.9120752984389348, 0.8824281778827234, 0.9358848222484586, 0.8835432244523154, 0.8910205955660502, 0.9099435917617736, 0.9015807424898334, 0.9038436311163583, 0.8988587170405352, 0.9196182605273514, 0.9173881673881674, 0.9341466614193886, 0.9036796536796536, 0.9049914731732913, 0.9314246359700905, 0.9174537583628493, 0.9158139839958022, 0.9093204775022956, 0.9166338711793258]"
50,5989354,170224,0.8688590604026847,0.7839188518028445,0.8161363636363638,0.7974643227104801,0.9114016791289518,0.5989537856902066,"[[326.92, 36.08], [22.54, 61.46]]","[0.9094188639643185, 0.9120752984389348, 0.8824281778827234, 0.9358848222484586, 0.8835432244523154, 0.8910205955660502, 0.9099435917617736, 0.9015807424898334, 0.9038436311163583, 0.8988587170405352, 0.9196182605273514, 0.9173881673881674, 0.9341466614193886, 0.9036796536796536, 0.9049914731732913, 0.9314246359700905, 0.9174537583628493, 0.9158139839958022, 0.9093204775022956, 0.9166338711793258, 0.9206677161222616, 0.9198150334513971, 0.8990882854519219, 0.8866915912370458, 0.8837072018890201, 0.8885609340154794, 0.8965302374393284, 0.9241112422930604, 0.9042371769644496, 0.9060737242555424, 0.9312278630460449, 0.909648432375705, 0.9224058769513315, 0.9121408894136166, 0.8925947789584153, 0.9127967991604355, 0.93454020726748, 0.9329004329004329, 0.9141742096287552, 0.9161419388692116, 0.8942673488128035, 0.9158139839958022, 0.940148235602781, 0.9041059950150859, 0.9164043027679392, 0.913715072805982, 0.935032139577594, 0.9151908697363244, 0.9046635182998819, 0.9236193099829464]"
