repeated_times,Training_Time,Prediction_Time,Accuracy,Precision,Recall,F1,AUC,MCC,CM,CV_list(AUC)
10,1648150,105050,0.8601990049751244,0.7859084062800569,0.7979039634146342,0.7886780558896376,0.9003963414634146,0.5824372331558962,"[[144.5, 15.5], [12.6, 28.4]]","[0.8804878048780488, 0.8946646341463415, 0.8987804878048781, 0.9407012195121951, 0.9160060975609756, 0.9236280487804878, 0.8754573170731708, 0.9092987804878049, 0.8804878048780488, 0.8844512195121952]"
20,1454130,94910,0.8522388059701491,0.7743865241767287,0.796078506097561,0.7817925429347329,0.8958689024390244,0.5691202539506757,"[[142.55, 17.45], [12.25, 28.75]]","[0.8804878048780488, 0.8946646341463415, 0.8987804878048781, 0.9407012195121951, 0.9160060975609756, 0.9236280487804878, 0.8754573170731708, 0.9092987804878049, 0.8804878048780488, 0.8844512195121952, 0.8611280487804878, 0.8954268292682926, 0.9144817073170732, 0.8873475609756097, 0.9125, 0.9413109756097562, 0.8955792682926829, 0.8530487804878049, 0.8442073170731709, 0.9083841463414635]"
50,1640280,95548,0.8524378109452736,0.7759858175973937,0.7932103658536588,0.7814398817554087,0.8990975609756099,0.5679428966655842,"[[142.92, 17.08], [12.58, 28.42]]","[0.8804878048780488, 0.8946646341463415, 0.8987804878048781, 0.9407012195121951, 0.9160060975609756, 0.9236280487804878, 0.8754573170731708, 0.9092987804878049, 0.8804878048780488, 0.8844512195121952, 0.8611280487804878, 0.8954268292682926, 0.9144817073170732, 0.8873475609756097, 0.9125, 0.9413109756097562, 0.8955792682926829, 0.8530487804878049, 0.8442073170731709, 0.9083841463414635, 0.891158536585366, 0.868140243902439, 0.9033536585365853, 0.9410060975609755, 0.9429878048780488, 0.8838414634146341, 0.9371951219512196, 0.9065548780487805, 0.8824695121951219, 0.8998475609756098, 0.9038109756097561, 0.8682926829268293, 0.913109756097561, 0.8971036585365854, 0.8992378048780488, 0.9141768292682927, 0.8897865853658536, 0.8807926829268293, 0.930640243902439, 0.9019817073170733, 0.9125, 0.908689024390244, 0.9085365853658536, 0.8271341463414634, 0.8900914634146342, 0.9355182926829269, 0.9015243902439025, 0.8917682926829269, 0.8803353658536586, 0.9259146341463415]"
