,training_time,prediction_time,accuracy,precision,recall,f1,auc,mcc,cm
0,10487100,259800,0.8258706467661692,0.7315993788819876,0.7273628048780488,0.7294334833275643,0.8605182926829268,0.45894262992501633,"[[143, 17], [18, 23]]"
1,5994400,250700,0.8159203980099502,0.7159937888198757,0.7120426829268293,0.7139725395177108,0.8814024390243902,0.4280182354848795,"[[142, 18], [19, 22]]"
2,7028600,257400,0.8159203980099502,0.7149660962221505,0.7029725609756098,0.7085472430144609,0.8704268292682926,0.4177665332366356,"[[143, 17], [20, 21]]"
3,4643400,219600,0.8557213930348259,0.7767805442964679,0.7914634146341464,0.7836704397847467,0.9236280487804878,0.5680542317242118,"[[144, 16], [13, 28]]"
4,2222700,246100,0.8706467661691543,0.8403409090909091,0.7282774390243902,0.7643398268398269,0.9204268292682927,0.5574662361883652,"[[155, 5], [21, 20]]"
5,15971800,236000,0.8606965174129353,0.787037037037037,0.7764481707317072,0.7815217391304348,0.8878048780487805,0.5633857073839846,"[[147, 13], [15, 26]]"
6,15316200,388100,0.8407960199004975,0.755932762030323,0.7367378048780489,0.7454890788224122,0.8373475609756096,0.49229649716176005,"[[146, 14], [18, 23]]"
7,6436800,267300,0.8407960199004975,0.7718181818181818,0.6823170731707316,0.7099567099567099,0.8625,0.4452284597537795,"[[152, 8], [24, 17]]"
8,2115600,215800,0.8308457711442786,0.7651821862348178,0.6397865853658536,0.6669590643274854,0.8711890243902438,0.3850657726343231,"[[154, 6], [28, 13]]"
9,4715300,249200,0.8706467661691543,0.8240777866880513,0.7464176829268293,0.7751290877796901,0.8685975609756098,0.5651849158770069,"[[153, 7], [19, 22]]"
10,2074400,203700,0.8258706467661692,0.7342072667217175,0.6729420731707317,0.6938242590416503,0.8746951219512196,0.40251355385131743,"[[149, 11], [24, 17]]"
11,2104600,178000,0.8606965174129353,0.8266976062530533,0.7038871951219512,0.7398298816568047,0.8792682926829269,0.5161761660208292,"[[155, 5], [23, 18]]"
12,15893100,250800,0.8059701492537313,0.6946190828402368,0.6604420731707317,0.6736061956114419,0.8326219512195122,0.3534124453353274,"[[145, 15], [24, 17]]"
13,2250900,195800,0.8258706467661692,0.7310606060606061,0.7092225609756098,0.7188811188811188,0.8768292682926829,0.43974125001221565,"[[145, 15], [20, 21]]"
14,5964300,301200,0.8557213930348259,0.778416149068323,0.7733231707317073,0.7758163147571246,0.8922256097560975,0.551715813245427,"[[146, 14], [15, 26]]"
15,5506500,212200,0.8557213930348259,0.777403414195867,0.7823932926829269,0.7798466593647316,0.9129573170731707,0.559774467214276,"[[145, 15], [14, 27]]"
16,15825500,266900,0.7960199004975125,0.6719653179190752,0.6269817073170731,0.6413369891630761,0.8440548780487805,0.29554322640647634,"[[146, 14], [27, 14]]"
17,2180000,200600,0.8308457711442786,0.7434843624699279,0.6851371951219513,0.7059380378657487,0.8516768292682927,0.42463166120174756,"[[149, 11], [23, 18]]"
18,16219800,297600,0.8109452736318408,0.7089176829268293,0.7089176829268293,0.7089176829268293,0.8019817073170732,0.41783536585365855,"[[141, 19], [19, 22]]"
19,2502100,233000,0.8656716417910447,0.8111111111111111,0.7432926829268293,0.7690736564401515,0.9028963414634147,0.5502401545164406,"[[152, 8], [19, 22]]"
