Repeated_Times,Training_Time_Mean,Prediction_Time_Mean,Accuracy_Mean,Accuracy_Median,Accuracy_Q1,Accuracy_Q3,Precision_Mean,Precision_Median,Precision_Q1,Precision_Q3,Recall_Mean,Recall_Median,Recall_Q1,Recall_Q3,F1_Mean,F1_Median,F1_Q1,F1_Q3,AUC_Mean,AUC_Median,AUC_Q1,AUC_Q3,MCC_Mean,MCC_Median,MCC_Q1,MCC_Q3,CM_Mean
10,1507540.0,91390.0,0.8601990049751244,0.8582089552238805,0.8519900497512438,0.8694029850746269,0.7859084062800569,0.7854858163522239,0.7780240976487978,0.7970130244860766,0.7979039634146342,0.7971036585365854,0.7802782012195122,0.82421875,0.7886780558896376,0.7835824588903448,0.7647438067438217,0.8072343659525189,0.9003963414634146,0.8967225609756098,0.8814786585365854,0.9143292682926829,0.5824372331558962,0.5705678960243611,0.5356908827366942,0.6173205764127633,"[[144.5  15.5]
 [ 12.6  28.4]]"
20,1406175.0,88240.0,0.8522388059701491,0.8532338308457712,0.8308457711442786,0.8669154228855721,0.7743865241767287,0.777909781632095,0.7481672471620227,0.7963996703081885,0.796078506097561,0.7941310975609757,0.7708269817073171,0.8227324695121951,0.7817925429347329,0.7779761115064794,0.7596082398915541,0.7999601910828025,0.8958689024390244,0.8955030487804878,0.8804878048780488,0.9129954268292683,0.5691202539506757,0.5589187870028722,0.5262832166448673,0.6027356295001609,"[[142.55  17.45]
 [ 12.25  28.75]]"
50,1561856.0,87330.0,0.8524378109452736,0.8532338308457712,0.8370646766169154,0.8656716417910447,0.7759858175973937,0.7774471898031478,0.750870867071525,0.7972054624557753,0.7932103658536588,0.7884908536585366,0.7705792682926829,0.8150724085365855,0.7814398817554087,0.7792733488523924,0.7634789654786179,0.7968080486392588,0.8990975609756099,0.8995426829268294,0.8839939024390244,0.9129573170731707,0.5679428966655842,0.5637716203351729,0.5371033683934499,0.60121953686953,"[[142.92  17.08]
 [ 12.58  28.42]]"
