repeated_times,Training_Time,Prediction_Time,Accuracy,Precision,Recall,F1,AUC,MCC,CM,CV_list(AUC)
10,14865610,167810,0.7849557522123893,0.6412629813719113,0.7457903028181341,0.6581121542267339,0.836950813933135,0.37235109456759075,"[[157.3, 39.7], [8.9, 20.1]]","[0.745142657097847, 0.9089795203920882, 0.8447400665149659, 0.8260108524417993, 0.8351129004025906, 0.8601435322947663, 0.86189392613338, 0.7946788027306143, 0.8463154209697182, 0.8464904603535796]"
20,98813845,181105,0.7918141592920354,0.6406381320186446,0.7342858393138457,0.6586218239056519,0.8328986521967442,0.36269980425641624,"[[159.9, 37.1], [9.95, 19.05]]","[0.745142657097847, 0.9089795203920882, 0.8447400665149659, 0.8260108524417993, 0.8351129004025906, 0.8601435322947663, 0.86189392613338, 0.7946788027306143, 0.8463154209697182, 0.8464904603535796, 0.8069315596009102, 0.8352879397864519, 0.8599684929109049, 0.8324873096446699, 0.8263609312095221, 0.8540171538596184, 0.8184841589357605, 0.8293366007351655, 0.8475406966567478, 0.7780500612637844]"
50,165165792,191846,0.7989380530973452,0.6457411335123858,0.7355785051636617,0.6640131123789047,0.8297566952564327,0.3698513220479059,"[[161.7, 35.3], [10.14, 18.86]]","[0.745142657097847, 0.9089795203920882, 0.8447400665149659, 0.8260108524417993, 0.8351129004025906, 0.8601435322947663, 0.86189392613338, 0.7946788027306143, 0.8463154209697182, 0.8464904603535796, 0.8069315596009102, 0.8352879397864519, 0.8599684929109049, 0.8324873096446699, 0.8263609312095221, 0.8540171538596184, 0.8184841589357605, 0.8293366007351655, 0.8475406966567478, 0.7780500612637844, 0.8851741641869421, 0.8722212497812006, 0.8263609312095221, 0.7582706108874497, 0.9249081043234728, 0.7495186416943813, 0.8288114825835813, 0.82863644319972, 0.8001050236303168, 0.8653947138106073, 0.8772973919131805, 0.7677227376159637, 0.8554174689305093, 0.7871521092245756, 0.8534920357080343, 0.8554174689305094, 0.8144582531069491, 0.8188342377034833, 0.8527918781725888, 0.8030806931559601, 0.8547173113950639, 0.8071065989847717, 0.8394888849991248, 0.805881323297742, 0.8447400665149659, 0.7628216348678452, 0.7673726588482409, 0.8496411692630842, 0.8550673901627865, 0.8179590407841764]"
