repeated_times,Training_Time,Prediction_Time,Accuracy,Precision,Recall,F1,AUC,MCC,CM,CV_list(AUC)
10,9465270,191500,0.7761194029850746,0.693876341172172,0.7478125,0.7053781175133036,0.8228506097560976,0.4377736658503353,"[[127.3, 32.7], [12.3, 28.7]]","[0.8027439024390245, 0.8323170731707318, 0.7742378048780487, 0.8740853658536585, 0.8289634146341464, 0.7960365853658538, 0.7894817073170732, 0.821189024390244, 0.8282012195121952, 0.88125]"
20,8529870,201525,0.7611940298507462,0.6854512211549251,0.7475076219512196,0.69464349573338,0.8277667682926829,0.42795486870797805,"[[123.3, 36.7], [11.3, 29.7]]","[0.8027439024390245, 0.8323170731707318, 0.7742378048780487, 0.8740853658536585, 0.8289634146341464, 0.7960365853658538, 0.7894817073170732, 0.821189024390244, 0.8282012195121952, 0.88125, 0.7966463414634146, 0.8698170731707318, 0.8326219512195122, 0.8754573170731708, 0.8291158536585366, 0.8577743902439025, 0.8057926829268293, 0.7751524390243902, 0.8153963414634147, 0.8690548780487805]"
50,9127150,189150,0.7661691542288556,0.6877627751572994,0.7497256097560977,0.6987323906368096,0.8263536585365854,0.43269518364710224,"[[124.4, 35.6], [11.4, 29.6]]","[0.8027439024390245, 0.8323170731707318, 0.7742378048780487, 0.8740853658536585, 0.8289634146341464, 0.7960365853658538, 0.7894817073170732, 0.821189024390244, 0.8282012195121952, 0.88125, 0.7966463414634146, 0.8698170731707318, 0.8326219512195122, 0.8754573170731708, 0.8291158536585366, 0.8577743902439025, 0.8057926829268293, 0.7751524390243902, 0.8153963414634147, 0.8690548780487805, 0.8042682926829269, 0.760060975609756, 0.8605182926829268, 0.8565548780487805, 0.8647865853658536, 0.815091463414634, 0.8254573170731707, 0.8335365853658536, 0.8182926829268293, 0.8004573170731707, 0.8039634146341463, 0.806859756097561, 0.8592987804878048, 0.806859756097561, 0.8844512195121952, 0.8362804878048781, 0.8605182926829268, 0.817530487804878, 0.8211890243902439, 0.880030487804878, 0.8416158536585365, 0.7246951219512194, 0.8579268292682927, 0.7990853658536585, 0.7760670731707318, 0.8025914634146342, 0.870579268292683, 0.876219512195122, 0.8041158536585366, 0.7934451219512195]"
