repeated_times,Training_Time,Prediction_Time,Accuracy,Precision,Recall,F1,AUC,MCC,CM,CV_list(AUC)
10,97297720,4958750,0.8623893805309735,0.6764690369064417,0.6020042009452127,0.6210261802248251,0.807299142307019,0.2660840917971973,"[[187.6, 9.4], [21.7, 7.3]]","[0.8158585681778401, 0.8414143182215998, 0.7854017153859619, 0.8550673901627867, 0.7650971468580431, 0.7995799054787327, 0.8414143182215998, 0.791178015053387, 0.8090320322072466, 0.7689480133029932]"
20,100395665,5347830,0.8595132743362832,0.6681353763549492,0.5944731314545773,0.6122158763133333,0.7963766847540696,0.2494683482835863,"[[187.35, 9.65], [22.1, 6.9]]","[0.8158585681778401, 0.8414143182215998, 0.7854017153859619, 0.8550673901627867, 0.7650971468580431, 0.7995799054787327, 0.8414143182215998, 0.791178015053387, 0.8090320322072466, 0.7689480133029932, 0.7710484859093296, 0.8596184141431822, 0.8620689655172414, 0.8032557325398215, 0.7775249431122002, 0.7948538421144757, 0.7964291965692281, 0.7274636793278488, 0.7432172238753718, 0.719061788902503]"
50,115183018,5818714,0.8661061946902656,0.6903211655137211,0.6009014528268861,0.6218074230279858,0.8056607736740767,0.2742194373965892,"[[188.66, 8.34], [21.92, 7.08]]","[0.8158585681778401, 0.8414143182215998, 0.7854017153859619, 0.8550673901627867, 0.7650971468580431, 0.7995799054787327, 0.8414143182215998, 0.791178015053387, 0.8090320322072466, 0.7689480133029932, 0.7710484859093296, 0.8596184141431822, 0.8620689655172414, 0.8032557325398215, 0.7775249431122002, 0.7948538421144757, 0.7964291965692281, 0.7274636793278488, 0.7432172238753718, 0.719061788902503, 0.810607386661999, 0.7608962016453702, 0.8454402240504113, 0.7314895851566603, 0.8601435322947664, 0.8534920357080343, 0.8393138456152635, 0.8414143182215998, 0.8155084894101172, 0.8095571503588308, 0.7649221074741817, 0.8079817959040785, 0.843339751444075, 0.7852266760021004, 0.7558200595133905, 0.8739716436198145, 0.7608962016453702, 0.797829511640119, 0.8540171538596184, 0.7897776999824961, 0.8218099072291266, 0.7799754944862594, 0.783126203395764, 0.7810257307894275, 0.8067565202170488, 0.8242604586031858, 0.8550673901627865, 0.890775424470506, 0.778400140031507, 0.8326623490285314]"
