repeated_times,Accuracy,Precision,Recall,F1,AUC,CV_list(AUC)
5,0.8724832214765101,0.865740877037568,0.665514427517433,0.7042515460842198,0.665514427517433,"[0.6433969322858212, 0.7305707346690954, 0.6398333333333334, 0.65425, 0.659521137298915]"
10,0.8708053691275168,0.8756259003058835,0.6590394343993864,0.6984282546159035,0.6590394343993864,"[0.6433969322858212, 0.7305707346690954, 0.6398333333333334, 0.65425, 0.659521137298915, 0.6959677419354838, 0.6072382478632479, 0.6626666666666666, 0.6295042585717405, 0.6674452913695599]"
20,0.8615771812080538,0.8717682312628374,0.6509087528432076,0.6878066283489777,0.6509087528432076,"[0.6433969322858212, 0.7305707346690954, 0.6398333333333334, 0.65425, 0.659521137298915, 0.6959677419354838, 0.6072382478632479, 0.6626666666666666, 0.6295042585717405, 0.6674452913695599, 0.6943695095801342, 0.6027568922305764, 0.6700214428996334, 0.6330151483710315, 0.6429600745952361, 0.609985632183908, 0.6399514268366727, 0.6557377049180328, 0.6536280002766827, 0.6253548809783795]"
50,0.8613422818791946,0.869644262776156,0.6439651094485882,0.680619492340344,0.6439651094485882,"[0.6433969322858212, 0.7305707346690954, 0.6398333333333334, 0.65425, 0.659521137298915, 0.6959677419354838, 0.6072382478632479, 0.6626666666666666, 0.6295042585717405, 0.6674452913695599, 0.6943695095801342, 0.6027568922305764, 0.6700214428996334, 0.6330151483710315, 0.6429600745952361, 0.609985632183908, 0.6399514268366727, 0.6557377049180328, 0.6536280002766827, 0.6253548809783795, 0.6242823370482944, 0.6427801309202926, 0.6541132478632479, 0.6670833333333334, 0.638276188396302, 0.6375319693094629, 0.6189999999999999, 0.6415094339622641, 0.627906976744186, 0.6410130317187117, 0.6438333333333334, 0.697983870967742, 0.6659677419354839, 0.6189999999999999, 0.6190569487983281, 0.6401657285803626, 0.6167355371900828, 0.6370967741935484, 0.6548384536000635, 0.6428987406275025, 0.6332063189648328, 0.6686974789915967, 0.5814952318555726, 0.6275804493017608, 0.6277302243211333, 0.5812324929971989, 0.6533482977927422, 0.68986148676338, 0.6361350574712643, 0.649719598583235]"
100,0.86,0.8684398778251476,0.6421993803457876,0.6782554216042993,0.6421993803457875,"[0.6433969322858212, 0.7305707346690954, 0.6398333333333334, 0.65425, 0.659521137298915, 0.6959677419354838, 0.6072382478632479, 0.6626666666666666, 0.6295042585717405, 0.6674452913695599, 0.6943695095801342, 0.6027568922305764, 0.6700214428996334, 0.6330151483710315, 0.6429600745952361, 0.609985632183908, 0.6399514268366727, 0.6557377049180328, 0.6536280002766827, 0.6253548809783795, 0.6242823370482944, 0.6427801309202926, 0.6541132478632479, 0.6670833333333334, 0.638276188396302, 0.6375319693094629, 0.6189999999999999, 0.6415094339622641, 0.627906976744186, 0.6410130317187117, 0.6438333333333334, 0.697983870967742, 0.6659677419354839, 0.6189999999999999, 0.6190569487983281, 0.6401657285803626, 0.6167355371900828, 0.6370967741935484, 0.6548384536000635, 0.6428987406275025, 0.6332063189648328, 0.6686974789915967, 0.5814952318555726, 0.6275804493017608, 0.6277302243211333, 0.5812324929971989, 0.6533482977927422, 0.68986148676338, 0.6361350574712643, 0.649719598583235, 0.6076923076923078, 0.6363514957264957, 0.6120089786756453, 0.6291316526610644, 0.66051912568306, 0.6407910271546635, 0.6165966386554621, 0.6666666666666666, 0.642198248905566, 0.6343283582089552, 0.6142228293867638, 0.6454312789652071, 0.6901754683394083, 0.6495959816553832, 0.6423850574712644, 0.6723730814639906, 0.6332063189648328, 0.6086659376708584, 0.6050442818636889, 0.6372240927796484, 0.5769230769230769, 0.638276188396302, 0.6955303195748708, 0.6144782441278398, 0.6961515639569382, 0.6572412097369067, 0.6089514066496163, 0.663688871775125, 0.6694533234980738, 0.5992658692487818, 0.6470481182208634, 0.6607142857142857, 0.5977534911961141, 0.600944510035419, 0.6840932117527861, 0.6403017241379311, 0.6234820886460231, 0.6319354838709679, 0.6516063405950665, 0.6362014995996216, 0.6657296881016558, 0.6230603448275862, 0.6524878413767303, 0.681301652892562, 0.7023333333333333, 0.6169199594731509, 0.6277302243211333, 0.6562324929971989, 0.6548384536000635, 0.6023989149783844]"
