repeated_times,Accuracy,Precision,Recall,F1,AUC,CV_list(AUC)
5,0.9068965517241379,0.5548699334543256,0.5147798742138365,0.5040317757290234,0.5147798742138365,"[0.5833333333333334, 0.5, 0.49056603773584906, 0.5, 0.5]"
10,0.8965517241379309,0.5489110707803992,0.5157232704402516,0.5011005088826622,0.5157232704402516,"[0.5833333333333334, 0.5, 0.49056603773584906, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5833333333333334]"
20,0.8948275862068964,0.5840469627223557,0.5280828968016815,0.5188788561551039,0.5280828968016815,"[0.5833333333333334, 0.5, 0.49056603773584906, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5833333333333334, 0.5, 0.5714285714285714, 0.6134453781512604, 0.5625, 0.5, 0.49038461538461536, 0.5, 0.5, 0.6666666666666666, 0.5]"
50,0.8879310344827585,0.5830217933898549,0.5290145970073827,0.5200120812306583,0.5290145970073827,"[0.5833333333333334, 0.5, 0.49056603773584906, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5833333333333334, 0.5, 0.5714285714285714, 0.6134453781512604, 0.5625, 0.5, 0.49038461538461536, 0.5, 0.5, 0.6666666666666666, 0.5, 0.5555555555555556, 0.5616246498599439, 0.6, 0.49074074074074076, 0.5737179487179487, 0.5, 0.5, 0.4909090909090909, 0.5714285714285714, 0.5, 0.5, 0.5, 0.6, 0.6428571428571428, 0.5787037037037037, 0.5, 0.5, 0.4811320754716981, 0.5625, 0.5, 0.5716981132075472, 0.5, 0.5, 0.5, 0.5, 0.5737179487179487, 0.5, 0.4722222222222222, 0.5622641509433962, 0.5]"
100,0.888793103448276,0.558143868454719,0.5345986783904455,0.5210150770465624,0.5345986783904455,"[0.5833333333333334, 0.5, 0.49056603773584906, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5833333333333334, 0.5, 0.5714285714285714, 0.6134453781512604, 0.5625, 0.5, 0.49038461538461536, 0.5, 0.5, 0.6666666666666666, 0.5, 0.5555555555555556, 0.5616246498599439, 0.6, 0.49074074074074076, 0.5737179487179487, 0.5, 0.5, 0.4909090909090909, 0.5714285714285714, 0.5, 0.5, 0.5, 0.6, 0.6428571428571428, 0.587962962962963, 0.5, 0.5, 0.4811320754716981, 0.5625, 0.5, 0.5716981132075472, 0.5, 0.5, 0.5, 0.5, 0.5737179487179487, 0.5, 0.4722222222222222, 0.5622641509433962, 0.5, 0.49074074074074076, 0.5544871794871795, 0.5, 0.5, 0.49074074074074076, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5453514739229025, 0.5, 0.542016806722689, 0.5, 0.5555555555555556, 0.6, 0.5, 0.5, 0.5, 0.7403846153846153, 0.5, 0.5, 0.5, 0.6303030303030303, 0.690566037735849, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.8151515151515151, 0.5, 0.6475000000000001, 0.5972222222222222, 0.5555555555555556, 0.5, 0.5, 0.5, 0.6716981132075471, 0.5, 0.7716981132075472, 0.5, 0.5, 0.6009070294784581, 0.5, 0.5, 0.5, 0.5, 0.5]"
