repeated_times,Training_Time,Prediction_Time,Accuracy,Precision,Recall,F1,AUC,MCC,CM,CV_list(AUC)
10,3972640,277330,0.8659292035398231,0.7034347059255766,0.6907841764396989,0.695387051127585,0.8490285314195696,0.3931407514559023,"[[182.5, 14.5], [15.8, 13.2]]","[0.7962541571853666, 0.9103798354629792, 0.8414143182216, 0.8517416418694206, 0.8478907754244704, 0.830561876422195, 0.8813232977419919, 0.8268860493611062, 0.8167337650971469, 0.8870995974094171]"
20,4108875,280915,0.8674778761061948,0.7050309114371275,0.6828505163661824,0.6906156847863261,0.8395413968142831,0.38577422047419785,"[[183.45, 13.55], [16.4, 12.6]]","[0.7962541571853666, 0.9103798354629792, 0.8414143182216, 0.8517416418694206, 0.8478907754244704, 0.830561876422195, 0.8813232977419919, 0.8268860493611062, 0.8167337650971469, 0.8870995974094171, 0.8561176264659548, 0.8209347103098197, 0.8464904603535794, 0.8018554174689305, 0.8442149483633818, 0.8477157360406091, 0.8380885699282339, 0.7675476982321022, 0.8739716436198145, 0.8036058113075442]"
50,4308252,292316,0.8669026548672568,0.7022336678000685,0.6789917731489585,0.6868187636073244,0.8403535795554,0.37881359168706835,"[[183.56, 13.44], [16.64, 12.36]]","[0.7962541571853666, 0.9103798354629792, 0.8414143182216, 0.8517416418694206, 0.8478907754244704, 0.830561876422195, 0.8813232977419919, 0.8268860493611062, 0.8167337650971469, 0.8870995974094171, 0.8561176264659548, 0.8209347103098197, 0.8464904603535794, 0.8018554174689305, 0.8442149483633818, 0.8477157360406091, 0.8380885699282339, 0.7675476982321022, 0.8739716436198145, 0.8036058113075442, 0.8904253457027831, 0.806406441449326, 0.8534920357080343, 0.7719236828286365, 0.8937510939961492, 0.8244354979870471, 0.8218099072291265, 0.8578680203045685, 0.8543672326273412, 0.8212847890775424, 0.8022054962366533, 0.856642744617539, 0.8821984946612988, 0.7738491160511115, 0.838613688079818, 0.8830736915806058, 0.8863994398739716, 0.8036058113075442, 0.8204095921582356, 0.8181340801680378, 0.8594433747593209, 0.8151584106423946, 0.8627691230526868, 0.8193593558550674, 0.8653947138106073, 0.8083318746718011, 0.8323122702608087, 0.9371608611937686, 0.8575179415368458, 0.8085069140556626]"
